id,logo,trading_name,user_rating,account_currencies,broker_type_id,support_options,account_type,trading_instruments,language,default_language
1,XM_Group-logo.png,XM,0.00,"EUR, USD, GBP, JPY, CHF, AUD, HUF, PLN, RUB, SGD, ZAR",1,"Email, Phone, Live Chat","Micro, Standard, XM Zero, XM Ultra Low, Shares","Forex, Precious Metals, Commodities, Stocks, Shares, Equity Indices, Energies, Cryptocurrencies",en,en
2,FXLider-logo.png,FXLider,0.00,"EUR, USD",1,,,,en,en
3,Exness-logo.png,Exness,0.00,"EUR, USD, GBP, JPY, RUR, PLN, SEK, TRY, ZAR, TWD, GOLD, SILVER",1,"Email, Phone, Live Chat","Standard Cent, Standard, Standard Plus, Pro, Raw Spread, Zero","Forex, Metals, Commodities, Indices, Stocks, Cryptocurrencies",en,en
4,FBS-logo.png,FBS,0.00,"EUR, USD",1,"Email, Phone, Live Chat, WhatsApp, Messanger, Call Back Request","Cent, Standard, Pro","Forex, Metals, Energies, Indices, Stocks, Cryptos",en,en
5,Alpari_UK-logo.png,"Alpari UK",0.00,"AUD, CHF, EUR, GBP, GLD, JPY, USD",1,"Email, Live Chat, Phone","Market, Alpari Direct, Alpari Direct Pro","Commodity CFDs, Forex, Metals, Indices CFDs",en,en
6,Axi-logo.png,Axi,0.00,"EUR, USD, GBP, AUD, CAD, CHF, JPY, HKD, NZD, SGD",1,"Email, Phone, Live Chat","Standard, Pro, Elite","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
7,YouTradeFX-logo.png,YouTradeFX,0.00,USD,1,,,,en,en
8,LQD_Markets-logo.png,"LQD Markets",0.00,"AUD, CHF, DKK, EUR, GBP, HUF, JPY, PLN, SEK, USD, ZAR",1,"Email, Live Chat, Phone","Mini, Premium","Commodity Futures CFDs, Forex, Metals, Futures Indices CFDs",en,en
9,Smart_Trade_FX-logo.png,"Smart Trade FX",0.00,"USD, EUR, GBP",1,,,,en,en
10,Tickmill-logo.png,Tickmill,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","Classic, Pro, VIP","Forex, Metals, Commodities, Indices, Bonds, Futures",en,en
11,AvaTrade-logo.png,AvaTrade,0.00,"EUR, USD, GBP, JPY",1,"Email, Phone, Live Chat, Call Back Request, Toll Free Call","MT4 Fixed Spreads, MT4 Floating Spreads, Ava Trader, Ava Options, Mirror Trader, FIX API","Forex, Metals, Commodities, Indices, ETFs, Vanilla Options, Cryptocurrencies",en,en
12,ACFX-logo.png,ACFX,0.00,"EUR, USD, GBP, CHF, JPY, CNY",1,"Email, Phone, Live Chat","Fixed Spreads, Floating Spreads, STP, ECN Pro","Forex, Metals, Commodity CFDs, Equity CFDs, Equity Index CFDs",en,en
13,HF-Markets-logo.png,"HF Markets",0.00,"EUR, USD, PLN, NGN, JPY, ZAR, KES",1,"Email, Phone, Live Chat","Cent, Premium, Zero, Pro, HFCopy, Strategy Provider Pro","Forex, Metals, Commodities, Indices, Stocks, ETFs, Futures, Bonds, Crypto",en,en
14,IronFX-logo.png,IronFX,0.00,"AUD, CHF, EUR, GBP, HUF, JPY, PLN, USD",1,"Email, Live Chat, Phone","Cent (Live Floating), Standard (Live Floating), Premium (Live Floating), VIP (Live Floating), Zero (Live Fixed Spread), No Commission (STP/ECN), Zero Spread (STP/ECN), Absolute Zero (STP/ECN)","Commodity Futures CFDs, Forex, Metals, Stock CFDs",en,en
15,ThinkMarkets-logo.png,ThinkMarkets,0.00,"EUR, USD, GBP, AUD, CAD, JPY, NZD",1,"Email, Phone, Live Chat, Skype","Standard, ThinkZero, ThinkMarkets Pro","Forex, Metals, Commodities, Indices, Cryptocurrencies",en,en
16,FXCC-logo.png,FXCC,0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat","ECN XL, ECN Standard, ECN Advanced"," Forex, Metals, Equity Index CFDs",en,en
17,IBFX_Australia-logo.png,"IBFX Australia",0.00,"USD, AUD",1,,,,en,en
19,Windsor_Brokers-logo.png,"Windsor Brokers",0.00,"EUR, USD, GBP",1,"Email, Phone, Live Chat, Call Back Request","Prime, Zero, VIP Zero","Forex, Metals, Commodity CFDs, Equity Index CFDs, Equity CFDs, Futures, Bonds, Cryptocurrencies",en,en
20,Orbex-logo.png,Orbex,0.00,"EUR, USD",1,"Email, Phone, Live Chat, Skype, Call Back Request","Fixed, Starter, Premium, Ultimate, FIX API","Forex, Metals, Commodity CFDs, Equity Index CFDs, Futures",en,en
21,Zulutrade-logo.png,Zulutrade,0.00,N/A,1,"Email, Phone, Live Chat",Standard,N/A,en,en
22,aaafx-logo.png,AAAFx,0.00,"USD, EUR, CAD, AUD, CHF",1,"Email, Phone, Live Chat","ECN, ECNplus, ECNzero, Islamic","Forex, Metals, Commodities, Indices, Stocks, Crypto",en,en
23,FxPro-logo.png,FxPro,0.00,"EUR, USD, GBP, CHF, AUD, JPY, PLN, ZAR",1,"Email, Live Chat, Phone","MT4 Instant, MT4 Standard, FxPro Edge, MT4 Fixed, MT5, MT4 Pro, MT4 Raw Plus, MT4 Elite, MT5 Raw Plus, MT5 Elite (VIP), cTrader","Forex, Metals, Energies, Indices, Shares, Futures, Cryptos",en,en
