company_id,broker_id,name,licence_number,year_founded,employees,headquarters,description,offices
1,1,"Trading Point of Financial Instruments Limited, Trading Point of Financial Instruments Pty Ltd, XM Global Limited","CySEC 120/10, IFSC 000261/106, ASIC 443670","2009, 2015, 2017",150+,"Australia, Cyprus, Belize, United Kingdom","<p><img alt="""" src=""https://ads.pipaffiliates.com/i/24093?c=59515"" style=""float:left; height:250px; width:300px"" />With over 400,000 Real Accounts opened since it was founded in 2009, XM has grown to a large and well established international investment firm and has become a true industry leader.</p>

<p>XM Group is a group of regulated online brokers. Trading Point of Financial Instruments Ltd was established in 2009 and it is regulated by the Cyprus Securities and Exchange Commission (CySEC 120/10) with headquarters in Limassol, Cyprus, Trading Point of Financial Instruments Pty Ltd was established in 2015 and it&rsquo;s regulated by Australian Securities and and XM Global Limited was established in 2017 and is regulated by the International Financial Services Commission (000261/106).</p>

<p>XM currently employs more than 150 professionals whose combined expertise represents the greatest talent pool to be found at any forex broker.</p>

<p>Our extensive experience combined with support for well over 30 languages, makes XM one of the broker of choice for traders of all levels, anywhere. We have the expertise and the resources to help everybody realize their investment goals, like only a big broker can.</p>",Greece
2,3,"Exness (CY) Limited, Nymstar Limited","CySEC 178/12, FSA Seychelles SD025, FSCA ZA 51024",2008,700+,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/Exness_description.png"" style=""float:left; height:250px; width:350px"" />Exness is a leading global multi-asset broker, offering FX currency pairs, precious metals, cryptocurrencies, commodities, indices and stocks, under excellent trading conditions such as attractive spreads, unlimited leverage and instant withdrawals.</p>

<p>With a legacy in the fintech industry spanning over a decade, Exness is the go-to broker for anyone looking to benefit from the world of online trading, whether they are making their first steps or looking to expand and diversify their current portfolio.</p>

<p>Founded on the pillars of trust, transparency, integrity and innovation, Exness offers a gateway to the financial markets that is second to none.<br />
<br />
In 2020, Exness saw its highest ever trading volumes: $6,784.4 billion for the year, with a $785 billion new monthly record in March. The number of active clients from more than 150 countries was up almost 100% YoY to 143,560 (72,721 in 2019).</p>
","Cyprus, Seychelles, United Kingdom"
3,4,"FBS Markets Inc., Parallax Incorporated, Tradestone Limited","CySEC 331/17, <a href=""http://fbs.com/about#workWithUs"">IFSC/60/230/TS/17</a>",2009,70+,"Belize, Cyprus","<p><img alt="""" src=""/upload/Imagini_Descriere/FBS_description.jpg"" style=""float:left; height:150px; width:300px"" />The appearance of FBS in the market makes a true sensation! From the very beginning, FBS showed high results and gained excellent feedback from its thankful clients.</p>

<p>Excellent quality of our work led to rapid growth of the company&rsquo;s popularity &ndash; by the end of its first year of operation FBS was already providing it&rsquo;s services to more than 50,000 clients. The same year we started building a network of our loyal partners from many countries and created an international customer support service.</p>","Belize, China, Cyprus, Egypt, Indonesia, Malaysia, Philippines, Russia, Vietnam"
4,5,"Alpari UK Ltd",,1998,150,"United Kingdom",,"China, Germany, India, Japan, United Arab Emirates"
5,6,"AxiCorp Financial Services Pty. Ltd, AxiCorp Limited","FCA UK 509746, ASIC 318232, DFSA 2758",2007,200+,Australia,"<p><img alt="""" src=""/upload/Imagini_Descriere/AxiTrader_description.png"" style=""float:left; height:253px; width:400px"" /></p>

<p><em>Axi is a global online FX and CFD trading company, trusted by 60,000+ ambitious customers in 100+ countries around the world.&nbsp;</em></p>

<p><em>Axi has made giant strides since its inception in 2007 to become a top 10 global broker, developing a reputation for its innovative, customer-focused approach, and advanced AI technology.&nbsp;</em></p>

<p><em>We help new traders, pro traders, trading businesses, banks and financial organisations find the edge they need to achieve their financial goals through informed transactions made on the world&rsquo;s financial markets.</em></p>","Australia, China, New Zealand, Philippines, Singapore, United Arab Emirate, United Kingdom"
6,8,"LQD Markets Ltd",,2006,250,"United Kingdom",,"Cyprus, Hungary, Portugal, United Kingdom"
7,10,"Tickmill Ltd, Tickmill Asia Ltd, Tickmill South Africa (Pty) Ltd","<a href=""http://www.fsaseychelles.sc/index.php/regulated-entities/capital-markets"">FSA SD008</a>, LFSA MB/18/0028, FSCA FSP 49464",2014,200+,Seychelles,"<p><img alt="""" src=""/upload/Imagini_Descriere/Tickmill_description.png"" style=""float:left; height:291px; width:350px"" />Tickmill is authorised and regulated as a securities dealer by the Financial Services Authority (FSA) of Seychelles with a licence number SD008 and also authorised and regulated by the Labuan Financial Services Authority (Licence number: MB/18/0028).</p>

<p>Tickmill&nbsp;is the new way of trading with extremely low market spreads, no requotes, STP and DMA, absolute transparency and the latest trading technology.</p>

<p>Our mission is to give you the best possible trading environment so that you can focus on trading and become a successful trader.</p>

<p>Tickmill&nbsp;has been built by traders for traders. Our team members have trading experience that goes back to 1994 and have successfully traded on all major financial markets from Asia to North America.</p>
",Seychelles
8,11,"Ava Trade EU Ltd, AVA Trade Ltd, Ava Capital Markets Australia Pty Ltd, Ava Capital Markets Pty, Ava Trade Japan K.K.","<a href=""http://registers.centralbank.ie/FirmRegisterDataPage.aspx?firmReferenceNumber=C53877&register=32&AspxAutoDetectCookieSupport=1"">CBI C53877</a>, <a href=""https://connectonline.asic.gov.au/RegistrySearch/faces/landing/panelSearch.jspx?searchText=143340907&searchType=OrgAndBusNm&_adf.ctrl-state=14pfsym2gr_4"">ASIC 406684</a>, <a href=""https://www.fsca.co.za/Pages/Default.aspx?u=0c61db5dc1b70a9cc5b18951d&id=9f82316130&e=1592259d84"">FSCA 45984</a>",2006,150+,Ireland,"<p><img alt="""" src=""/upload/Imagini_Descriere/AvaTrade_description.jpg"" style=""float:left; height:183px; width:300px"" />AvaTrade has been an innovative pioneer in online trading since 2006. The company was created as a combined effort of financial professionals and experts in web-commerce with the goal of perfecting the online experience for retail traders.</p>

<p>Within a few short years, AvaTrade has expanded enormously, with over twenty thousand registered customers globally executing more than two million trades a month. The company&rsquo;s total trading volumes surpass $60 billion per month.</p>

<p>Ava is a multi-national company with regional offices and sales centers in Paris, Dublin, Milan, Tokyo and Sydney. The company&#39;s administrative headquarters are in Dublin, Ireland.</p>
","Australia, China, France, Ireland, Italy, Japan, Nigeria"
9,12,"Atlas Capital Financial Services Limited","CySEC 085/07",2010,200+,Cyprus,"<p><img alt="""" src=""upload/Imagini_Descriere/ACFX_description.jpg"" style=""float:left; height:184px; width:205px"" />AtlasCapital was incorporated in October 2007 and is headquartered in the centre of Limassol, Cyprus. The Company is a member of AtlasGroup, one of the most renowned business conglomerates in southeast Europe.</p>

<p>In addition, AtlasCapital provides traditional services like global custodianship to investment banks, brokers-dealers, institutional investors, mutual funds, corporate entities and private investors.</p>

<p>In January 2010, Atlas Capital FX (ACFX) - a trade name of Atlas Capital Financial services (ACFS) - was formed in order to provide retail investors access to the currency, commodities, energies and equities markets.</p>
","Cyprus, Serbia"
10,13,"HF Markets Group includes: HF Markets (Europe) Ltd, HF Markets (SV), HF Markets SA (PTY), HF Markets (Seychelles), HF Markets (UK), HF Markets (DIFC), HFM Investments Ltd (Kenya)","CySEC 183/12, FSA SVG 22747 IBC 2015, FCA UK 801701, DFSA F004885, FSCA ZA 46632, CMA",2010,200+,Cyprus,"<p><img alt="""" src=""/upload/Imagini_Descriere/HF-Markets-banner.gif"" style=""float:left; height:250px; width:300px"" /></p>

<p>HFM is an award winning forex and commodities broker, providing trading services and facilities to both retail and institutional clients. Through its policy of providing the best possible trading conditions to its clients and allowing both scalpers and traders using expert advisors unrestricted access to its liquidity, HFM has positioned itself as the forex broker of choice for traders worldwide.</p>

<p>HFM offers various accounts types, trading software and tools to facilitate individuals and institutional customers to trade Forex and CFD&#39;s online. All Retail, Affiliates and White Label clients have the opportunity to access interbank spreads and liquidity via state of the art automated trading platforms.</p>

<p>HFM provides an unparalleled variety of account options that clients can select to enjoy a tailored trading experience that perfectly suits their needs. Coupled with superior trading conditions and lightning fast execution, HFM provides all the tools and services needed for clients of any level to realise their trading ambitions.</p>
","Cyprus, United Kingdom, United Arab Emirates, Kenya, Nigeria, Mauritius, South Africa, Mexico"
