broker_id,headquarters,description,offices
1,"Australia, Cipru, Belize, Marea Britanie","<p><img alt="""" src=""https://ads.pipaffiliates.com/i/24093?c=59515"" style=""float:left; height:250px; width:300px"" />Av&acirc;nd peste 400,000 de conturi reale deschise din 2009, XM a devenit o firmă mare și respectată și a devenit un adevărat lider al pieței.</p>

<p>XM Group este un grup de brokeri online reglementati. Trading Point of Financial Instruments Ltd a fost infiintata in 2009 si este reglementata de catre Comisia Pietei de Capital si a Valorilor Mobiliare a Republicii Cipru (CySEC 120/10) cu sediul principal in&nbsp;Limassol, Cipru, Trading Point of Financial Instruments Pty Ltd a fost infiintata in 2015 si este reglementata de catre Comisia Pietei de Capital si a Investitiilor a Australiei<strong>&nbsp;</strong>(ASIC 443670) cu sediul principal in Sydney, Australia si&nbsp;XM Global Limited care a fost infiintata in 2017 si este reglementata de Comisia de Servicii Financiare Internationale&nbsp;(000261/106).</p>

<p>XM are &icirc;n prezent peste 150 de profesioniști a căror experiență cumulată reprezintă cel mai mare izvor de talent dintre toți brokerii Forex.</p>

<p>Experiența noastră mare, combinată cu un suport pentru peste 20 de limbi, face din XM brokerul preferat al traderilor de toate nivelurile, oriunde. Avem experiența și resursele de a ajuta pe toată lumea să-și realizeze obiectivele de investiții, așa cum numai un broker mare poate.</p>",Grecia
3,Cipru,"<p><img alt="""" src=""/upload/Imagini_Descriere/Exness_description.png"" style=""float:left; height:250px; width:350px"" /></p>

<p>Exness este un broker de top internațional ce oferă nuneroase active, printre care perechi valutare FX, metale prețioase, criptomonede, mărfuri, indici și acțiuni, &icirc;n condiții excelente de tranzacționare, cum ar fii spread-uri atractive, levier ridicat și retrageri de fonduri instantanee.</p>

<p>Cu o moștenire &icirc;n industria fintech care se &icirc;ntinde pe o perioadă de peste un deceniu, Exness este brokerul preferat pentru oricine dorește să beneficieze de lumea tranzacționării online, indiferent dacă fac primii pași sau caută să-și extindă și să-și diversifice portofoliul actual.</p>

<p>&Icirc;nființat pe pilonii &icirc;ncrederii, transparenței, integrității și inovației, Exness oferă o poartă către piețele financiare de excepție.</p>

<p>&Icirc;n 2020, Exness a &icirc;nregistrat cele mai mari volume de tranzacționare realizate vreodată: 6.784,4 miliarde USD pentru anul respectiv, cu un nou record lunar de 785 miliarde USD &icirc;n luna martie. Numărul de clienți activi din peste 150 de țări a crescut cu aproape 100% anual p&acirc;nă la 143.560 (72.721 &icirc;n 2019).</p>
","Cipru, Marea Britanie"
4,"Belize, Cipru","<p><img alt="""" src=""/upload/Imagini_Descriere/FBS_description.jpg"" style=""float:left; height:150px; width:300px"" />Apariția FBS pe piață a creat o adevărată senzație! De la &icirc;nceput, FBS a demonstrat rezultate bune și a primit feedback excelent de la clienții recunoscători.</p>

<p>Calitatea excelentă a muncii noastre a dus la creșterea popularității companiei &ndash; la finalul primului an de operațiuni FBS av&acirc;nd deja peste 50,000 de clienți. &Icirc;n același an, am &icirc;nceput să construim o rețea de parteneri loiali din mai multe țări și am creat un serviciu internațional de servicii clienți.</p>","Belize, China, Cipru, Egipt, Filipine, Indonezia, Malaezia, Rusia, Vietnam"
5,"United Kingdom",,"China, Germany, India, Japan, United Arab Emirates"
6,Australia,"<p><img alt="""" src=""/upload/Imagini_Descriere/AxiTrader_description.png"" style=""float:left; height:221px; width:350px"" /></p>

<p><em>Axi este o companie globală&nbsp;de brokeraj ce oferă&nbsp;produse derivate ca FX și CFD-uri, cu peste 60,000 de clienți ambițioși din peste 100&nbsp;de țări care au avut &icirc;ncredere &icirc;n ea.</em></p>

<p><em>Axi și-a propus ținte mărețe &icirc;ncă&nbsp;de la &icirc;nceputuri &icirc;n&nbsp;2007, pentru a deveni unul din primii 10 brokeri la nivel global, cresc&acirc;ndu-și reputația prin inovație, orientare către client și servicii avansate,&nbsp;utiliz&acirc;nd tehnologii de Inteligență&nbsp;Artificială.</em></p>

<p><em>Ajutăm noii traderi, at&acirc;t &icirc;ncepători c&acirc;t și profesionali, mici afaceri din același sector, bănci și organizații financiare oferindu-le acel avantaj de care au nevoie pentru a-și atinge obiectivele financiare, prin faptul că&nbsp;sunt mereu informați &icirc;n ce privesc&nbsp;piețele financiare internaționale.</em></p>","Australia, China, Emiratele Arabe Unite, Filipine, Marea Britanie, Noua Zeelandă, Singapore"
8,"United Kingdom",,"Cyprus, Hungary, Portugal, United Kingdom"
10,Seychelles,"<p><img alt="""" src=""/upload/Imagini_Descriere/Tickmill_description.png"" style=""float:left; height:291px; width:350px"" />Tickmill este un dealer de active financiare autorizat și reglementat de Autoritatea de Servicii Financiare (FSA) din Seychelles cu numărul de licență SD008&nbsp;și&nbsp;Autoritatea pentru Servicii Financiare Labuan (numărul licenței: MB/18/0028).</p>

<p>Tickmill este o nouă cale de tranzacționare cu spreaduri extrem de mici, fără recotări, STP și DMA, transparență absolută cu cea mai nouă tehnologie de tranzacționare.</p>

<p>Misiunea noastră e de a vă oferi cel mai bun mediu de tranzacționare astfel &icirc;nc&acirc;t să vă puteți concentra pe tranzacționare pentru a deveni un trader de succes.</p>

<p>Tickmill a fost creat de traderi pentru traderi. Membrii echipei noastre au experiență de tranzacționare din 1994 și au tranzacționat cu succes pe toate piețele financiare majore din Asia p&acirc;nă &icirc;n America de Nord.</p>
",Seychelles
11,Irlanda,"<p><img alt="""" src=""/upload/Imagini_Descriere/AvaTrade_description.jpg"" style=""float:left; height:214px; width:350px"" />AvaTrade a fost un pionier inovator &icirc;n tranzacționare din 2006. Compania a fost creată ca un efort concentrat al profesioniștilor finanțiști și al experților &icirc;n comerț online av&acirc;nd scopul de a perfecta experiența de tranzacționare pentru traderii retail.</p>

<p>&Icirc;n c&acirc;țiva ani, AvaTrade s-a extins enorm, cu peste 20,000 de clienți &icirc;nregistrați la nivel mondial execut&acirc;nd peste 2 milioane de tranzacții lunare. Volumele totale de tranzacționare ale companiei depășesc 60 miliarde USD &icirc;n fiecare lună.</p>

<p>AvaTrade este o companie multinațională cu sedii regionale și centre de v&acirc;nzări &icirc;n Paris, Dublin, Milan, Tokyo și Sydney. Sediul administrativ al companiei este &icirc;n Dublin, Irlanda.</p>
","Australia, China, Franța, Irlanda, Italia, Japonia, Nigeria"
12,Cipru,"<p><img alt="""" src=""upload/Imagini_Descriere/ACFX_description.jpg"" style=""float:left; height:216px; width:234px"" />AtlasCapital a fost creat &icirc;n Octombrie 2007 și are sediul &icirc;n centrul orașului Limassol, Cipru. Compania este membră a AtlasGroup, unul dintre cele mai recunoscute conglomerate din SE Europei.</p>

<p>&Icirc;n plus, AtlasCapital oferă servicii tradiționale precum custodie globală &icirc;n bănci de investiții, brokeri, investitori instituționali, fonduri mutuale, entități corporative și investitori privați.</p>

<p>&Icirc;n ianuarie 2010, AtlasCapital FX (ACFX) &ndash; o marcă comercială a Atlas Capital Financial Services (ACFS) &ndash; a fost format pentru a oferi investitorilor de retail acces la valute, mărfuri, instrumente derivate pe energie și piețe de capital.</p>
","Cipru, Serbia"
13,Cipru,"<p><img alt="""" src=""/upload/Imagini_Descriere/HF-Markets-banner.gif"" style=""float:left; height:250px; width:300px"" /></p>

<p>HFM este un broker de valută și mărfuri premiat, care oferă servicii și facilități de tranzacționare at&acirc;t clienților de retail, c&acirc;t și pentru cei instituționali. Prin politica sa de a oferi clienților săi cele mai bune condiții posibile de tranzacționare și de a permite at&acirc;t scalperilor, c&acirc;t și traderilor care folosesc soluții automatizate&nbsp;acces nerestricționat la lichiditatea sa, HFM s-a poziționat drept brokerul valutar ales de traderii din &icirc;ntreaga lume.</p>

<p>HFM oferă diferite tipuri de conturi, software de tranzacționare și instrumente pentru a facilita persoanelor fizice și clienților instituționali să tranzacționeze Forex și CFD-uri online. Toți clienții Retail, Afiliații și White Label au posibilitatea de a accesa spread-uri interbancare și lichiditate prin intermediul platformelor de tranzacționare automate de ultimă generație.</p>

<p>HFM oferă o varietate fără egal de opțiuni de cont pe care clienții le pot selecta pentru a se bucura de o experiență de tranzacționare personalizată, care se potrivește perfect nevoilor lor. &Icirc;mpreună cu condiții de tranzacționare superioare și execuție rapidă, HFM oferă toate instrumentele și serviciile necesare clienților de orice nivel pentru a-și realiza ambițiile de tranzacționare.</p>
","Cipru, Marea Britanie, Emiratele Arabe Unite, Kenya, Nigeria, Maurițius, Africa de Sud, Mexic"
