id,name,slug,applicable_for,data_type,form_type,is_public,tooltip,metadata,for_crypto,for_brokers,for_props,required,position,default_language,option_category_id,dropdown_category_id,placeholder,created_at,updated_at
1,Carousel Position,carousel_position,broker,int,number,1,Partner position on the homepage carousel,NULL,1,1,1,0,1,en,1,NULL,Carousel Partner Position,NULL,NULL
2,List Position,list_position,broker,int,number,1,Partner position on the view as list page,NULL,1,1,1,0,1,en,1,NULL,Partner List Position,NULL,NULL
3,Grid Position,grid_position,broker,int,number,1,Partner position on the view as grid page,NULL,1,1,1,0,1,en,1,NULL,Partner Grid Position,NULL,NULL
4,Table Position,table_position,broker,int,number,1,Partner position on the ratings & reviews page,NULL,1,1,1,0,1,en,1,NULL,Partner Table Position,NULL,NULL
5,Website Demo Account Registration Link,demo_account_registration_link,broker,string,url,1,"If you offer a free demo account, please provide the URL to the registration page",NULL,1,1,1,0,1,en,1,NULL,Demo Account Registration Link,NULL,NULL
6,Logo,logo,broker,string,image,1,Upload your company Logo,NULL,1,1,1,1,1,en,1,NULL,Company Logo,NULL,NULL
7,Trading Name,trading_name,broker,string,string,1,"If multiple trading names are used, please provide the one that is most commonly used",NULL,1,1,1,1,1,en,1,NULL,Company Trading Name,NULL,NULL
8,Website Homepage Link,home_url,broker,string,url,1,"If a dedicated homepage link is available for our partner account, please use that link. If not, kindly use the standard homepage link instead",NULL,1,1,1,1,1,en,1,NULL,Homepage Link,NULL,NULL
9,1-Click Trading,1_click_trading,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
10,Expert Advisors (EAs),expert_advisors,broker,boolean,checkbox,1,NULL,NULL,0,1,1,0,1,en,2,NULL,,NULL,NULL
11,Social Trading,social_trading,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
12,Copy Trading,copy_trading,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
13,Bonuses,trading_bonuses,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
14,Contests,trading_contests,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
15,Trading API,trading_api,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
16,MAM/ PAMM Platforms,mam_pamm_platforms,broker,boolean,checkbox,1,NULL,NULL,0,1,0,0,1,en,2,NULL,,NULL,NULL
17,Managed Accounts,managed_accounts,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
18,Free VPS,free_vps,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
19,Non-expiring Demo Accounts,non-expiring_demo_accounts,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
20,Funding Methods,funding_methods,broker,string,multiple_select,1,NULL,NULL,1,1,0,1,1,en,2,NULL,,NULL,NULL
21,Covered Markets,covered_markets,broker,string,multiple_select,1,NULL,NULL,1,1,1,1,1,en,2,NULL,,NULL,NULL
22,Interest on Free Margin,interest_on_free_margin,broker,boolean,checkbox,1,NULL,NULL,1,1,0,0,1,en,2,NULL,,NULL,NULL
23,Deposit Compensation Scheme,deposit_compensation_scheme,broker,boolean,checkbox,1,Financial protection mechanism that safeguards clients deposited funds by compensating them up to a specified limit institution becomes insolvent,NULL,1,1,0,0,1,en,2,NULL,,NULL,NULL
24,Negative Balance Protection,negative_balance_protection,broker,boolean,checkbox,1,"Risk management feature that ensures a trader cannot lose more money than he has deposited, preventing his account balance from falling below zero",NULL,1,1,0,0,1,en,2,NULL,,NULL,NULL
25,Segregated Accounts,segregated_accounts,broker,boolean,checkbox,1,"Client funds being held separately from the brokers own operational funds, ensuring that clients money is protected and not used for the brokers business activities",NULL,1,1,0,0,1,en,2,NULL,,NULL,NULL
26,Crypto Rebates,crypto_rebates,broker,boolean,checkbox,1,NULL,NULL,1,1,0,0,1,en,2,NULL,,NULL,NULL
27,Supported Languages,support_languages ,broker,string,multiple_select,1,NULL,NULL,1,1,1,1,1,en,2,NULL,,NULL,NULL
28,24h Support,24h_support,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
29,Accept American clients,accept_american_clients,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
30,Accept Japanese Clients,accept_japanese_clients,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
31,Accept European Clients,accept_european_clients,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
32,Accept Canadian Clients,accept_canadian_clients,broker,boolean,checkbox,1,NULL,NULL,1,1,1,0,1,en,2,NULL,,NULL,NULL
