id,name,slug,data_type,form_type,meta_data,for_crypto,for_brokers,for_props,required,position,default_language,option_category_id,created_at,updated_at
1,"Position Home",position_home,int,number,NULL,1,1,1,0,1,en,1,NULL,NULL
2,"Position List",position_list,int,number,NULL,1,1,1,0,1,en,1,NULL,NULL
3,"Position Grid ",position_grid,int,number,NULL,1,1,1,0,1,en,1,NULL,NULL
4,"Position Table",position_table,int,number,NULL,1,1,1,0,1,en,1,NULL,NULL
5,Popularity,popularity,numeric,number,NULL,1,1,1,0,1,en,2,NULL,NULL
6,Regulation,regulation,numeric,number,NULL,1,1,1,0,1,en,2,NULL,NULL
7,"Trading Fees",trading_fees,numeric,number,NULL,1,1,1,0,1,en,2,NULL,NULL
8,"Customer Support",customer_support,text,textarea,NULL,1,1,1,0,1,en,2,NULL,NULL
9,Features,features,text,textarea,NULL,1,1,1,0,1,en,2,NULL,NULL
10,"Trustpilot Ranking",trustpilot_ranking,numeric,number,NULL,1,1,1,0,1,en,3,NULL,NULL
11,"ForexPeaceArmy Ranking",forex_peace_army_ranking,numeric,number,NULL,1,1,1,0,1,en,3,NULL,NULL
12,"WikiFX Ranking",wikifx_ranking,numeric,number,NULL,1,1,1,0,1,en,3,NULL,NULL
13,Highlights,"highlights ",text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
14,Notes,notes,text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
15,"Promotion Title",promotion_title,string,text,NULL,1,1,1,0,1,en,5,NULL,NULL
16,"Promotion Details",promotion_details,text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
17,"Promotion Banner",promotion_banner,text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
18,"Contest Title",contest_title,string,text,NULL,1,1,1,0,1,en,5,NULL,NULL
19,"Contest Details",contest_details,text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
20,"Contest Banner",contest_banner,text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
21,"Short Payment Options",short_payment_options,text,textarea,NULL,1,1,1,0,1,en,5,NULL,NULL
