label,value,order
Apple-Pay,apple-pay,1
AstroPay,astropay,2
Binance-Pay,binance-pay,3
CashU,cashu,4
Check,check,5
Crypto-Wallet,crypto-wallet,6
Cryptocurrency-Payments,cryptocurrency-payments,7
Doku,doku,8
Epay,epay,9
FairPay,fairpay,10
Fasapay,fasapay,11
GCash,gcash,12
Google-Pay,google-pay,13
IFX-Payments,ifx-payments,14
JCB,jcb,15
Klarna,klarna,16
Kuady,kuady,17
LetKnow-Pay,letknow-pay,18
Local-Bank,local-bank,19
MoneyGram,moneygram,20
Nexway,nexway,21
Nagad,nagad,22
Neteller,neteller,23
Ngan-Luong,ngan-luong,24
OFX,ofx,25
Other,other,26
Payu,payu,27
POLi,poli,28
PayPal,paypal,29
PayRetailers,payretailers,30
Payment-Asia,payment-asia,31
Payoneer,payoneer,32
PaysafeCard,paysafecard,33
Przelewy24,przelewy24,34
Qiwi,qiwi,35
Revolut,revolut,36
SEPA,sepa,37
SWIFT,swift,38
Skrill,skrill,39
Sticpay,sticpay,40
Stripe,stripe,41
ThunderXPay,thunderxpay,42
Transfer-Rapid,transfer-rapid,43
TrustPay,trustpay,44
Trustly,trustly,45
UnionPay-International,unionpay-international,46
Visa,visa,47
Vload,vload,48
VertuPay,vertupay,49
Virtualpay,virtualpay,50
Volet,volet,51
WebMoney,webmoney,52
WesternUnion,westernunion,53
Wire-Transfer,wire-transfer,54
Wise,wise,55
ZotaPay,zotapay,56
American-Express,american-express,57
Bitpay,bitpay,58
Bitwallet,bitwallet,59
Brightcart,brightcart,60
Carteirax,carteirax,61
Confirmo,confirmo,62
Dragonpay,dragonpay,63
Finrax,finrax,64
Help2pay,help2pay,65
IDEAL,ideal,66
Korapay,korapay,67
Maestro,maestro,68
Mastercard,mastercard,69
MyFatoorah,myfatoorah,70
Paysera,paysera,71
Paytm,paytm,72
Tingg,tingg,73
Worldpay,worldpay,74
X-Pay,x-pay,75
