id,abreviation,rating,capitalization,enforced,website,name,country,description
3,"FCA UK",5,"GBP 730,000",1,http://www.fca.org.uk/,"Financial Conduct Authority UK","United Kingdom","<p>FCA regulates the financial services industry in the UK.</p>

<p>FCA aims to make sure that financial markets work well so that consumers get a fair deal. This means ensuring that, the financial industry is run with integrity, firms provide consumers with appropriate products and services, and consumers can trust that firms have their best interests at heart.</p>
"
4,ASIC,4,"AUD 1,000,000",1,http://www.asic.gov.au/," Australian Securities and Investments Commission",Australia,"<p>ASIC is Australia&rsquo;s corporate, markets and financial services regulator.</p>

<p>ASIC contribute to Australia&rsquo;s economic reputation and wellbeing by ensuring that Australia&rsquo;s financial markets are fair and transparent, supported by confident and informed investors and consumers.</p>
"
5,"CySEC (MiFID)",4,"EUR 730,000",1,https://www.cysec.gov.cy/en-GB/home/,"Cyprus Securities and Exchange Commission",Cyprus,"<p>The Cyprus Securities and Exchange Commission (CySEC) is the independent public supervisory Authority responsible for the supervision of the investment services market and transactions in transferable securities carried out in the Republic of Cyprus.</p>

<p>CySEC is to exercise effective supervision to ensure investor protection and the appropriate development of the securities market.</p>
"
6,"HCMC (MiFID)",4,"EUR 730,000",1,http://www.hcmc.gr/en_US/web/portal/home,"The Hellenic Republic Capital Market Commission",Greece,"<p>HCMC (or Greek Capital Market Commission) is one of two regulatory bodies for the financial industry in Greece, the other being the National Bank of Greece.</p>

<p>HCMC is responsible for the surveillance of the proper application of capital market legislation. It participates decisively in the formation of the capital market regulatory framework, on a national, European and international level, and contributes actively to the operations of the Council of the European Union, of ESMA and of IOSCO.</p>
"
7,CFTC,5,"USD 25,000,000",1,http://www.cftc.gov/index.htm,"U.S. Commodity Futures Trading Commission","United States","<p>The mission of the Commodity Futures Trading Commission (CFTC) is to foster open, transparent, competitive, and financially sound markets, to avoid systemic risk, and to protect the market users and their funds, consumers, and the public from fraud, manipulation, and abusive practices related to derivatives and other products that are subject to the Commodity Exchange Act.</p>
"
8,NFA,5,"USD 20,000,000",1,https://www.nfa.futures.org/,"National Futures Association","United States","<p>Investor confidence is crucial to the success of the derivatives markets, and the best way to gain investor confidence is to ensure that the highest levels of integrity are demanded of all market participants and intermediaries.</p>

<p>National Futures Association (NFA) is the industrywide, self-regulatory organization for the U.S. derivatives industry. NFA strives every day to safeguard market integrity, protect investors and help our Members meet their regulatory responsibilities.</p>
"
9,"CBI (MiFID)",4,"EUR 730,000",1,http://www.centralbank.ie/Pages/home.aspx,"Central Bank of Ireland",Ireland,"<p>CBI is responsible for both central banking and financial regulation and fore maintaining price stability through policy formulation at Eurosystem (MiFID) level.</p>

<p>We will continue to support the Governor in performing his role in relation to European Central Bank (ECB)&nbsp;monetary policy formulation and crisis resolution, and also continue to contribute to policy development and analysis across our wide range of Eurosystem commitments.&nbsp;We will also continue to implement both standard and non-standard monetary policies and operations on a decentralised basis.</p>
"
10,"BaFIN (MiFID)",5,"EUR 730,000",1,http://www.bafin.de/EN/Homepage/homepage_node.html," Federal Financial Supervisory Authority",Germany,"<p>The Federal Financial Supervisory Authority (BaFin) supervises banks/ financial services providers, insurance undertakings and securities trading.</p>

<p>BaFin operates in the public interest. Its primary objective is to ensure the proper functioning, stability and integrity of the German financial system. Bank customers, insurance policyholders and investors ought to be able to trust the financial system.</p>
"
11,FINMA,5,"CHF 10,000,000",1,http://www.finma.ch/e/Pages/default.aspx," Swiss Financial Market Supervisory Authority",Switzerland,"<p>FINMA performs its supervisory activities for the benefit of the Swiss financial centre, as well as investors, creditors and insured persons.</p>

<p>The primary objective of financial market supervision is to ensure the proper functioning of the financial markets and to protect clients as a group against insolvency.</p>
"
12,FMA,4,"NZD 1,000,000",1,http://www.fma.govt.nz/," Financial Markets Authority of New Zealand","New Zealand","<p>The Financial Markets Authority (FMA) has established itself as an agency with a critical role in regulating capital markets and financial services in New Zealand. &nbsp;</p>

<p>As a risk-based conduct regulator, we focus our resources on conduct that we think poses the most significant risk to achieving this objective.</p>

<p>Our main vision is to promote and facilitate the development of fair, efficient and transparent financial markets.</p>
"
