id,name,country,description
3,"Autoritatea de Supraveghere Financiară din Marea Britanie","Marea Britanie","<p>FCA&nbsp;reglementează&nbsp;industria serviciilor financiare &icirc;n Marea Britanie.</p>

<p>Obiectivul principal este să&nbsp;asigure&nbsp;stabilitatea și buna funcționare a piețelor financiare astfel &icirc;nc&acirc;t consumatorii să&nbsp;primeasca un serviciu corect. Acest lucru &icirc;nseamnă&nbsp;că, industria financiară&nbsp;să&nbsp;funcționeze cu integritate, firmele să&nbsp;ofere clienților produse și servicii corespunzătoare astfel &icirc;nc&acirc;t consumatorii să&nbsp;aibă&nbsp;&icirc;ncredere că&nbsp;firmele au cele mai bune interese pentru a deservii nevoilor acestora.</p>
"
4,"Comisia Pieței de Capital și a Investițiilor a Australiei",Australia,"<p>ASIC este organismul de reglementare a serviciilor corporatiste și a pieței financiare din Australia.</p>

<p>ASIC contribuie la reputația și bunăstarea Australiei prin oferirea asigurării că&nbsp;piețele financiare din Australia sunt corecte și transparente, totodată&nbsp;oferind &icirc;ncredere și inform&acirc;nd continuu investitorii și consumatorii de servicii financiare.</p>
"
5,"Comisia Pieței de Capital și a Valorilor Mobiliare a Republicii Cipru",Cipru,"<p>Comisia Pieței de Capital și a Valorilor Mobiliare a Republicii Cipru (CySEC) este o autoritate publică&nbsp;independentă&nbsp;de supraveghere pentru piața serviciilor de investiții financiare și ale tranzacțiilor de valori mobiliare desfășurate &icirc;n cadrul Republicii Cipriote.</p>

<p>CySEC va executa supervizarea eficientă&nbsp;pentru a asigura protecția investitorilor și dezvoltarea corectă&nbsp;a pieței de capital.</p>
"
6,"Comisia Pieței de Capital a Republicii Elene",Grecia,"<p>HCMC (Comisia Pieței de Capital a Republicii Elene) este unul dintre cele două&nbsp;organisme de reglementare pentru piața financiară&nbsp;din Grecia, cealaltă&nbsp;fiind Banca Națională&nbsp;a Greciei.</p>

<p>HCMC este responsabilă&nbsp;pentru supravegherea aplicării corespunzatoare a legislației pieței de capital. Participa decisiv la formarea cadrului de reglementare a pieței de capital, la nivel național, european și internațional, precum și contribuie activ la operațiunile Consiliului Uniunii Europene, ale ESMA și IOSCO.</p>
"
7,"Comisia de Tranzacționare a Contractelor Futures din Statele Unite","Statele Unite","<p>Misiunea Comisiei de Tranzacționare a Contractelor Futures din Statele Unite&nbsp;(CFTC) este de a promova piețele deschise, transparente, competitive, cu o situație financiară&nbsp;solidă, pentru a evita riscul sistemic și pentru a proteja&nbsp;participanții la piață&nbsp;precum și fondurile acestora, consumatorii și a publicului larg, de fraudă, manipulare și de practici abuzive legate de instrumente financiare derivate și alte produse care sunt supuse tranzacționării pe aceste piețe.</p>
"
8,"Asociatia Națională a Pieței Futures","Statele Unite","<p>&Icirc;ncrederea investitorilor este crucială&nbsp;pentru piețele derivate și cea mai bună&nbsp;cale de a c&acirc;știga &icirc;ncrederea investitorilor este de a asigura faptul că&nbsp;cele mai &icirc;nalte standarde de integritate sunt cerute tuturor participanților și intermediarilor.</p>

<p>Asociația Națională&nbsp;a Pieței Futures (NFA) este un organism de sine stătător, format pentru Industria Pieței Derivate din U.S. NFA se străduiește &icirc;n fiecare zi să&nbsp;supravegheze integritatea pieței, să&nbsp;protejeze investitorii și să&nbsp;ajute membrii săi să-și &icirc;ndeplinească&nbsp;responsabilitățile de reglementare.</p>
"
9,"Banca Centrală a Irlandei",Irlanda,"<p>CBI este responsabilă&nbsp;at&acirc;t pentru politicile Băncii Centrale c&acirc;t și pentru reglementările pieței financiare pentru menținerea stabilității prețurilor &icirc;n Irlanda, prin politici formulate la nivelul Sistemului European (MiFID).</p>

<p>CBI continuă&nbsp;să&nbsp;ofere suport Guvernului pentru a-și &icirc;ndepini rolul privind politicile monetare și programele de criză&nbsp;&icirc;n relația cu Banca Centrală&nbsp;Europeană&nbsp;(ECB) și de asemenea continuă&nbsp;să&nbsp;contribuie cu programe de dezvoltare și analiză&nbsp;&icirc;n cadrul Sistemului European.</p>

<p>CBI contiuă&nbsp;să&nbsp;implementeze at&acirc;t politici monetare standarde c&acirc;t și non-standarde dar și operatiuni la nivel descentralizat.</p>
"
10,"Autoritatea Federală de Supraveghere Financiară din Germania",Germania,"<p>Autoritatea Federală&nbsp;de Supraveghere Financiară din Germania&nbsp;(BaFin) supraveghează&nbsp;băncile/ furnizorii de servicii financiare, brokerii de asigurări și tranzacționarea cu valori mobiliare.</p>

<p>BaFin operează&nbsp;&icirc;n interesul public. Obiectivul său principal este să&nbsp;asigure funcționarea corespunzătoare, stabilitatea și integritatea sistemului financiar German. Clienții bancari, deținătorii de asigurări și investitorii trebuie să&nbsp;aibă&nbsp;&icirc;ncredere &icirc;n sistemul financiar.</p>
"
11,"Autoritatea de Supraveghere a Piețelor Financiare din Elveția",Elveția,"<p>FINMA &icirc;și desfasoară&nbsp;activitatea sa de supraveghetor &icirc;n interesul Centrului Financiar din Elveția pentru investitori, creditori și asiguratori.</p>

<p>Obiectivul principal al organismului de supraveghere al piețelor financiare este să&nbsp;asigure funcționarea corespunzătoare al piețelor financiare și protejarea clienților &icirc;mpotriva insolvenței.</p>
"
12,"Autoritatea Piețelor Financiare din Noua Zeelandă","Noua Zeelandă","<p>Autoritatea Piețelor Financiare (FMA) s-a construit ca o agenție independentă&nbsp;cu un rol determinant &icirc;n reglementarea pieței de capital și a serviciilor financiare &icirc;n Noua Zeelandă.</p>

<p>Ca reglementator al unui sistem bazat pe risc, FMA &icirc;și concentrează&nbsp;resursele acolo unde crede că&nbsp;există&nbsp;un risc semnificativ pentru a se atinge obiectivele.</p>

<p>Viziunea principala a FMA este să&nbsp;promoveze și să&nbsp;faciliteze dezvoltarea onestă, eficientă&nbsp;și transparentă&nbsp;a pieței financiare.</p>
"
