broker_id,url_type,name,slug,url,option_category_id
1,mobile,"MT4 Android",mt4-android,https://clicks.pipaffiliates.com/c?c=59515&l=en&p=17,3
1,mobile,"MT4 iOS (iPhone/iPad)",mt4-ios-iphoneipad,https://www.xm.com/iphone,3
1,mobile,"MT5 Andoid",mt5-andoid,https://www.xm.com/mt5-android,3
1,mobile,"MT5 iOS (iPhone/iPad)",mt5-ios-iphoneipad,https://www.xm.com/mt5-iphone,3
1,live_trading_account,"Open a Live Trading Account with XM",open-a-live-trading-account-with-xm,https://clicks.pipaffiliates.com/c?c=59515&amp;l=en&amp;p=1,1
1,partner_account,"Open a Partner (IB/ Affiliate) Account with XM",open-a-partner-ib-affiliate-account-with-xm,https://clicks.pipaffiliates.com/c?c=59516&amp;l=en&amp;p=101,1
2,live_trading_account,"Open a New Account",open-a-new-account,http://www.fxlider.com?A=880,1
3,mobile,"MT4/MT5 Android, MT4/MT5 iOS (iPhone/iPad)",mt4mt5-android-mt4mt5-ios-iphoneipad,https://one.exness.link/a/u13le36a?platform=mobile,3
3,live_trading_account,"Open a Live Trading Account with Exness",open-a-live-trading-account-with-exness,https://one.exness-track.com/boarding/sign-up/a/u13le36a,1
4,mobile,"MT4 Android, MT5 Android, FBS Trader Android, MT4 iOS, MT5 iOS, FBS Trader iOS",mt4-android-mt5-android-fbs-trader-android-mt4-ios-mt5-ios-fbs-trader-ios,none,3
4,live_trading_account,"Open a Cent Live Trading Account with FBS",open-a-cent-live-trading-account-with-fbs,https://fbs.partners?ibl=19072&amp;ibk=fxrebate,1
4,live_trading_account,"Open a Standard&nbsp;Live&nbsp;Trading Account with FBS",open-a-standardnbsplivenbsptrading-account-with-fbs,https://fbs.partners?ibl=19076&amp;ibk=fxrebate,1
4,live_trading_account,"Open a Pro Live Trading Account with FBS",open-a-pro-live-trading-account-with-fbs,https://fbs.partners?ibl=793348&amp;ibk=fxrebate,1
5,mobile,"MT4 Android, MT4 iOS (iPhone/iPad), MT4 Mobile (Windows PDA/Smartphone)",mt4-android-mt4-ios-iphoneipad-mt4-mobile-windows-pdasmartphone,none,3
5,live_trading_account,"Open a New Account",open-a-new-account,https://my.alpari.co.uk/en/openliveaccount/show/partner/2735/,1
6,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
6,live_trading_account,"Open a Live Trading Account with Axi",open-a-live-trading-account-with-axi,https://www.axitrader.com/au/live-account?promocode=436048,1
7,live_trading_account,"Open a New Account",open-a-new-account,http://affiliates.ytfxaffiliates.com/visit/?r=0.20612&amp;bta=20612,1
8,mobile,"MT4 Android, MT4 iOS (iPhone/iPad), MT4 Mobile (Windows PDA/Smartphone)",mt4-android-mt4-ios-iphoneipad-mt4-mobile-windows-pdasmartphone,none,3
8,live_trading_account,"Open a New Account",open-a-new-account,http://www.lqdmarkets.com/live?ib=2801815,1
9,live_trading_account,"Open a New Account",open-a-new-account,https://www.smarttradefx.com/open-live-account?a_aid=fxrebate,1
10,mobile,"MT4 Android, MT4 iOS, MT5 Android, MT5 iOS",mt4-android-mt4-ios-mt5-android-mt5-ios,none,3
10,live_trading_account,"Open a Live Trading Account with Tickmill UK",open-a-live-trading-account-with-tickmill-uk,https://secure.tickmill.co.uk?utm_campaign=ib_link&amp;utm_content=IBU59317371&amp;utm_medium=Live+Registration&amp;utm_source=link&amp;lp=https%3A%2F%2Fsecure.tickmill.co.uk%2Fusers%2Fregister%3Flang%3D2,1
10,live_trading_account,"Open a Live Trading Account with Tickmill Seychelles",open-a-live-trading-account-with-tickmill-seychelles,https://secure.tickmill.com?utm_campaign=OPEN+ACCOUNT&amp;utm_content=IB96571911&amp;utm_medium=ib&amp;utm_source=link&amp;utm_term=link&amp;lp=https%3A%2F%2Fsecure.tickmill.com%2Fusers%2Fregister,1
11,mobile,"MT4/AvaTradeGO Android, MT4/AvaTradeGO iOS (iPhone/iPad)",mt4avatradego-android-mt4avatradego-ios-iphoneipad,none,3
11,live_trading_account,"Open a Live Trading Account with AvaTrade",open-a-live-trading-account-with-avatrade,https://https://www.avatrade.com/trading-account/?tag=58799,1
12,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
12,live_trading_account,"Open a New ACFX Trading Account",open-a-new-acfx-trading-account,http://www.acfx.com/landing/?campaignid=1581&amp;utm_agent=DAtlas-2235&amp;utm_source=&amp;utm_medium=&amp;utm_campaign=DAtlas-2235&amp;utm_term=&amp;utm_content=&amp;utm_landingpageid=LND-0000000234,1
13,mobile,"MT4 Android, MT4 iOS, MT5 Android, MT5 iOS, HFM Android, HFM iOS",mt4-android-mt4-ios-mt5-android-mt5-ios-hfm-android-hfm-ios,none,3
13,live_trading_account,"Open a Live Trading Account with HF Markets",open-a-live-trading-account-with-hf-markets,https://register.hfm.com/sv/en/new-live-account/?refid=50200,1
13,partner_account,"Open a Partner (IB/ Affiliate) Account with HF Markets",open-a-partner-ib-affiliate-account-with-hf-markets,https://register.hfm.com/sv/en/new-partner-account/?refid=50200,1
14,mobile,"MT4 Android, MT4 iOS",mt4-android-mt4-ios,none,3
14,live_trading_account,"Open a New Account - Live Floating/ Fixed/ Zero Spread Account",open-a-new-account-live-floating-fixed-zero-spread-account,https://www.ironfx.com/en/register?accountType=Referral&amp;utm_source=115458&amp;utm_medium=ib_link&amp;utm_campaign=IB,1
14,live_trading_account,"Open a New Account - STP/ ECN No Commission/ Zero Spread Account",open-a-new-account-stp-ecn-no-commission-zero-spread-account,https://www.ironfx.com/ro/register?accountType=StpEcn&amp;utm_source=402902&amp;utm_medium=ib_link&amp;utm_campaign=IB,1
14,live_trading_account,"Open a New Account - VIP Variable Spread 1.3 - 1.6 pips on EUR/USD",open-a-new-account-vip-variable-spread-13-16-pips-on-eurusd,https://www.ironfx.com/ro/register?utm_source=16030307&amp;utm_medium=ib_link&amp;utm_campaign=IB,1
15,mobile,"MT4/MT5/ThinkTrader Android, MT4/MT5/ThinkTrader iOS (iPhone/iPad), MT4/MT5/ThinkTrader Mobile (Windows PDA/Smartphone)",mt4mt5thinktrader-android-mt4mt5thinktrader-ios-iphoneipad-mt4mt5thinktrader-mobile-windows-pdasmartphone,none,3
15,live_trading_account,"Open a Live Trading Account with ThinkMarkets",open-a-live-trading-account-with-thinkmarkets,https://welcome-partners.thinkmarkets.com/afs/come.php?cid=13819&amp;ctgid=1001&amp;atype=1&amp;brandid=7,1
16,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
16,live_trading_account,"Open a New FXCC Trading Account",open-a-new-fxcc-trading-account,https://hub.fxcc.com/register/live?fx=i-1971-S00C00,1
17,live_trading_account,"Open a New Account",open-a-new-account,http://smartvillesrla0000.ibfxpartners.com.au,1
19,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
19,live_trading_account,"Open a Live Prime Trading Account with Windsor Brokers",open-a-live-prime-trading-account-with-windsor-brokers,https://sc.myuserhub.com?pt=21524,1
19,live_trading_account,"Open a Live Zero Trading Account with&nbsp;Windsor Brokers",open-a-live-zero-trading-account-withnbspwindsor-brokers,https://sc.myuserhub.com?pt=21525,1
19,live_trading_account,"Open a Live VIP Zero Trading Account with&nbsp;Windsor Brokers",open-a-live-vip-zero-trading-account-withnbspwindsor-brokers,https://sc.myuserhub.com?pt=21526,1
20,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
20,live_trading_account,"Open a New Orbex Trading Account",open-a-new-orbex-trading-account,http://www.orbex.com/en/open-real-account?ref_id=1000479,1
21,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
21,live_trading_account,"Open a New ZuluTrade Account",open-a-new-zulutrade-account,http://fxrebates.zulutrade.com,1
22,mobile,"MT4 Android, MT4 iOS, MT5 Android, MT5 iOS, ActTrader Android, ActTrader iOS",mt4-android-mt4-ios-mt5-android-mt5-ios-acttrader-android-acttrader-ios,none,3
22,live_trading_account,"Open a Live Trading Account with AAAFx",open-a-live-trading-account-with-aaafx,https://my.aaafx.com/register?refLink=OTQ4&amp;refRm=MjM=,1
22,partner_account,"Open a Partner (IB/ Affiliate) Account with AAAFx",open-a-partner-ib-affiliate-account-with-aaafx,https://ib.aaafx.com/register?refLink=OTQ4fHwyMw==,1
23,mobile,"MT4 Android, MT4 iOS, MT5 Andoid, MT5 iOS, cTrader Android, cTrader iOS",mt4-android-mt4-ios-mt5-andoid-mt5-ios-ctrader-android-ctrader-ios,none,3
23,live_trading_account,"Open a Live&nbsp;Trading Account with FxPro",open-a-livenbsptrading-account-with-fxpro,https://direct.fxpro.com.cy/partner/77340051?lang=en,1
24,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
24,live_trading_account,"Open a New FxNet Trading Account",open-a-new-fxnet-trading-account,http://member.fxnet.com/aff/100344/9/fxnet-real,1
25,mobile,"MT4/MT5/FXOpen Trader Android, MT4/MT5 iOS (iPhone/iPad)",mt4mt5fxopen-trader-android-mt4mt5-ios-iphoneipad,none,3
25,live_trading_account,"Open a Live Trading Account with FXOpen",open-a-live-trading-account-with-fxopen,https://my.fxopen.com/Registration?agent=XX09FXPNXXG9278110001,1
26,live_trading_account,"Open a New Account",open-a-new-account,http://accentforex.com/en/?ref=10659,1
27,mobile,"MT4 & MT5 & cTrader Android, MT4 & MT5 & cTrader iOS (iPhone/iPad)",mt4-mt5-ctrader-android-mt4-mt5-ctrader-ios-iphoneipad,none,3
27,live_trading_account,"Open a New Pepperstone UK Trading Account",open-a-new-pepperstone-uk-trading-account,http://trk.pepperstonepartners.com/aff_c?offer_id=139&amp;aff_id=4774,1
27,live_trading_account,"Open a New Pepperstone AU Trading Account",open-a-new-pepperstone-au-trading-account,https://pepperstone.com/?a_aid=fxrebate,1
28,mobile,"MT4 Android, MT4 iOS (iPhone/iPad)",mt4-android-mt4-ios-iphoneipad,none,3
28,live_trading_account,"Open a New FXCL Markets Trading Account",open-a-new-fxcl-markets-trading-account,http://www.fxclearing.com/registration?ib=fxrebate,1
29,mobile,"MT4 & MT5 Android, MT4 & MT5 iOS (iPhone/iPad)",mt4-mt5-android-mt4-mt5-ios-iphoneipad,none,3
29,live_trading_account,"Open a New LiteForex Europe Trading Account for EU clients",open-a-new-liteforex-europe-trading-account-for-eu-clients,https://www.liteforex.eu/?uid=225080376&amp;cid=12315,1
29,live_trading_account,"Open a New LiteForex Investments Trading Account for Non EU clients",open-a-new-liteforex-investments-trading-account-for-non-eu-clients,http://www.liteforex.com/?uid=1687862643,1
30,mobile,"MT4 Android, MT4 iOS (iPhone/iPad), MT4 Mobile (Windows PDA/Smartphone)",mt4-android-mt4-ios-iphoneipad-mt4-mobile-windows-pdasmartphone,none,3
30,live_trading_account,"Open a New TFI FX Trading Account",open-a-new-tfi-fx-trading-account,http://www.tfifx.com/real-account-opening-wizard.aspx?i=523,1
32,mobile,"MT4 Android, MT4 iOS (iPhone/iPad), MT4 Mobile (Windows PDA/Smartphone), FOREXTrader Pro Mobile",mt4-android-mt4-ios-iphoneipad-mt4-mobile-windows-pdasmartphone-forextrader-pro-mobile,none,3
32,live_trading_account,"Open a New Forex.com Trading Account - FOREXTrader Pro",open-a-new-forexcom-trading-account-forextrader-pro,https://secure.efxnow.com/NewOLS_GCUK_EN/applyforex.aspx?BC=GCUK&amp;IBC=SVI2&amp;SIBC=SVI2,1
33,mobile,"MT4 Android, MT4 iOS (iPhone/iPad), MT4 Mobile (Windows PDA/Smartphone)",mt4-android-mt4-ios-iphoneipad-mt4-mobile-windows-pdasmartphone,none,3
33,live_trading_account,"Open a New Falcon Brokers Trading Account",open-a-new-falcon-brokers-trading-account,http://sys.falconbrokers.com/registration/liveaccount/index.php?langid=en&amp;promotion=FTA14,1
34,mobile,"MT4/MT5/CQG QTrader Android, MT4/MT5/CQG QTrader iOS (iPhone/iPad)",mt4mt5cqg-qtrader-android-mt4mt5cqg-qtrader-ios-iphoneipad,none,3
